Existing_U-verse_customer_login_Using_SLID_Having_MultipleBAN,2018-01-04,'09:35:58.947,CSI_100917,75619,75620,EXACT,InquireUnifiedCustomerLoginProfileRequest,0.49
Existing_U-verse_customer_login_Using_SLID_Having_MultipleBAN,2018-01-04,'09:36:26.568,CSI_100917,57740,57741,EXACT,InquireUnifiedServiceAccountRequest,0.49
Existing_U-verse_customer_login_Using_SLID_Having_MultipleBAN,2018-01-04,'09:36:47.071,CSI_100917,75622,75623,EXACT,SendBillingPreferencesNotificationRequest,0.49
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:14:51.636,CSI_101317,73282,73283,EXACT,InquireFemtocellProfileRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:14.789,CSI_101317,73401,73402,EXACT,ValidateFemtocellWhitelistRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:14.945,CSI_101317,73526,73527,EXACT,ValidateFemtocellEquipmentIdentifierRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:15.080,CSI_101317,73537,73538,EXACT,InquireFemtocellDeviceRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:22.739,CSI_101317,73548,73549,EXACT,AddFemtocellAddressRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:22.884,CSI_101317,73401,73402,EXACT,ValidateFemtocellWhitelistRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:23.013,CSI_101317,73282,73283,EXACT,InquireFemtocellProfileRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:40.064,CSI_101317,74866,74867,EXACT,RegisterFemtocellServiceRequest,1.57
F2C_MNG_3G_WL_Unl_IST_003_User_With_FT_Plan,2017-12-28,'07:16:48.975,CSI_101317,73282,73283,EXACT,InquireFemtocellProfileRequest,1.57
Mob_Multiple Order_Do not accept Terms and Conditions,2018-01-02,'08:19:34.259,CSI_092617,21009,21010,EXACT,InquireOrdersForTermsAndConditionsAcceptanceRequest,0.9
Mob_Multiple Order_Do not accept Terms and Conditions,2018-01-02,'08:19:43.126,CSI_092617,22017,10769,SIGNATURE,UpdateOrdersForTermsAndConditionsAcceptanceRequest,0.9
OBR Phoenix_Multiple Order_To accept the billing responsibility for CRU to IRU(Next),2017-12-29,'09:33:55.197,XI_100617,45,46,EXACT,AuthenticateToBRRequest,0.46
OBR Phoenix_Multiple Order_To accept the billing responsibility for CRU to IRU(Next),2017-12-29,'09:33:55.432,CSI_100617,84049,84050,EXACT,InquireUnifiedCustomerLoginProfileRequest,0.46
OBR Phoenix_Multiple Order_To accept the billing responsibility for CRU to IRU(Next),2017-12-29,'09:33:55.710,CSI_100617,84069,84070,EXACT,InquireUnifiedCustomerLoginProfileRequest,0.46
