BAP12345-1123,2015-11-24,'23:35:29.005,TGUARD_112315,154,155,EXACT,authenticateUserRequest,8.31
BAP12345-1123,2015-11-24,'23:35:31.290,CSI_112315,804,805,EXACT,InquireUnifiedCustomerLoginProfileRequest,8.31
BAP12345-1123,2015-11-24,'23:35:32.996,GRID_112315,129,130,EXACT,WirelessDashboardProviderImpl.getWirelessDashboardResponse,8.31
BAP12345-1123,2015-11-24,'23:35:33.019,ServiceLocator,1511,1512,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:09.690,PAMBIS_112315,250,251,EXACT,_PAM_Stub.retrievePaymentProfile,8.31
BAP12345-1123,2015-11-24,'23:36:10.284,CSI_112315,1139,1140,EXACT,InquireUnifiedCustomerLoginProfileRequest,8.31
BAP12345-1123,2015-11-24,'23:36:10.364,BDS_112315,88,89,EXACT,InquireAccountDetailListRequest,8.31
BAP12345-1123,2015-11-24,'23:36:10.435,CAPM_112315,169,170,EXACT,CapmGetAffiliatePymtBalanceProcessor.execute,8.31
BAP12345-1123,2015-11-24,'23:36:10.442,CAPM_112315,221,222,EXACT,CapmGetAffiliatePymtBalanceProcessor.execute,8.31
BAP12345-1123,2015-11-24,'23:36:10.461,CSI_112315,1316,1317,EXACT,InquireUnifiedCustomerLoginProfileRequest,8.31
BAP12345-1123,2015-11-24,'23:36:10.497,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:10.502,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:10.819,CAPM_112315,172,173,EXACT,CapmGetAffiliatePymtBalanceProcessor.execute,8.31
BAP12345-1123,2015-11-24,'23:36:10.825,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:11.033,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:11.630,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:11.660,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:11.863,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:11.868,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:11.961,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:11.991,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:12.652,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:12.656,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:12.811,ServiceLocator,1073,1074,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:12.816,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:13.128,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:13.133,ServiceLocator,1073,1074,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:15.529,TLG_112315,1385,1386,EXACT,BanServicesBean_3sdvt9_EOImpl_1030_WLStub.loadAccount,8.31
BAP12345-1123,2015-11-24,'23:36:15.869,TLG_112315,1388,1389,EXACT,BanServicesBean_3sdvt9_EOImpl_1030_WLStub.loadAccount,8.31
BAP12345-1123,2015-11-24,'23:36:16.885,TLG_112315,1296,1297,EXACT,AppQueryBean_tktr17_EOImpl_1030_WLStub.getBanInquireInfo,8.31
BAP12345-1123,2015-11-24,'23:36:17.042,TLG_112315,1299,1300,EXACT,AppQueryBean_tktr17_EOImpl_1030_WLStub.getBanInquireInfo,8.31
BAP12345-1123,2015-11-24,'23:36:18.521,CSI_112315,1025,1026,EXACT,InquireUpgradeEligibilityRequest,8.31
BAP12345-1123,2015-11-24,'23:36:18.671,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.699,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.709,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.713,ServiceLocator,1507,1498,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:18.718,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.722,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.729,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.733,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.738,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.742,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.747,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:18.997,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.034,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.038,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.044,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.439,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.444,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.448,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.451,ENABLER_112315,,,NO_MATCH,CM9PerformanceIndicatorServicesBean_4qfjec_EOImpl_922_WLStub.getRatedPerformanceIndicators,8.31
BAP12345-1123,2015-11-24,'23:36:19.462,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.466,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.691,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.696,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.701,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.705,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.755,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:36:19.773,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.777,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.789,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.793,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:19.815,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:20.010,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.015,ServiceLocator,1136,1137,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.018,ServiceLocator,1437,1438,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.095,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.102,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:36:20.104,ServiceLocator,1443,1444,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.241,ServiceLocator,1443,1444,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.244,ServiceLocator,1443,1444,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.247,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.252,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:36:20.712,TLG_112315,,,NO_MATCH,TitanServicesBean_iz1fpv_EOImpl_1030_WLStub.getConvergeEligibilityResults,8.31
